No,longitude,latitude
147,-78.0272979736328,35.2926025390625
148,-122.2619018554680,47.3065948486328
149,-82.3590011596679,41.4105072021484
150,-122.3412017822260,47.6031951904296
151,-88.3755035400390,39.4795989990234
152,-87.8588027954101,42.7256011962890
153,-123.1371002197260,44.0991058349609
154,-92.9946975708007,38.4414062500000
155,-97.8219985961914,37.7510070800781
156,-88.8414993286132,41.3497009277343
157,-73.9888992309570,40.5794982910156
158,-81.7594985961914,30.2230072021484
159,-81.1832962036132,28.5503997802734
160,-72.9296035766601,41.6853027343750
161,-73.2253036499023,44.4828948974609
162,-74.0705032348632,40.3014068603515
163,-78.4889984130859,38.0321044921875
164,-93.6606979370117,45.2100067138671
165,-73.3545989990234,40.7135009765625
166,-75.6346969604492,38.3802032470703
167,-95.5087966918945,29.8117980957031
168,-95.9972000122070,41.2884063720703
